AmbulanceR;BikeInjury;CrashID;CrashYear;SpeedLimit;TraffCntrl;Weather
No;Unknown Injury;102377077;2008;20 - 25  MPH;Stop Sign;Clear
Yes;B: Suspected Minor Injury;102377154;2008;40 - 45  MPH;Double Yellow Line; No Passing Zone
Yes;B: Suspected Minor Injury;102377534;2008;50 - 55  MPH;Double Yellow Line; No Passing Zone
Yes;A: Suspected Serious Injury;102377629;2008;30 - 35  MPH;Stop Sign;Clear
Yes;B: Suspected Minor Injury;102377694;2008;Unknown;Missing;Clear
Yes;C: Possible Injury;102377742;2008;40 - 45  MPH;No Control Present;Cloudy
Yes;B: Suspected Minor Injury;102378831;2008;30 - 35  MPH;Stop Sign;Cloudy
Yes;C: Possible Injury;102378851;2008;30 - 35  MPH;Stop Sign;Clear
Yes;C: Possible Injury;102379052;2008;40 - 45  MPH;Missing;Clear
Yes;B: Suspected Minor Injury;102379192;2008;30 - 35  MPH;Stop And Go Signal;Clear
Yes;B: Suspected Minor Injury;102379236;2008;30 - 35  MPH;Yield Sign;Clear
Yes;C: Possible Injury;102379485;2008;50 - 55  MPH;No Control Present;Clear
Yes;B: Suspected Minor Injury;102379489;2008;40 - 45  MPH;Double Yellow Line; No Passing Zone
No;C: Possible Injury;102379630;2008;5 - 15 MPH;No Control Present;Clear
No;C: Possible Injury;102379686;2008;30 - 35  MPH;No Control Present;Clear
No;O: No Injury;102379711;2008;30 - 35  MPH;No Control Present;Clear
Yes;B: Suspected Minor Injury;102379850;2008;30 - 35  MPH;No Control Present;Clear
Yes;O: No Injury;102379964;2008;Unknown;Stop Sign;Clear
Yes;C: Possible Injury;102379978;2008;Unknown;No Control Present;Clear
Yes;B: Suspected Minor Injury;102380001;2008;20 - 25  MPH;Stop Sign;Clear
Yes;C: Possible Injury;102380274;2008;30 - 35  MPH;Stop Sign;Clear
No;B: Suspected Minor Injury;102380736;2008;40 - 45  MPH;Missing;Clear
Yes;B: Suspected Minor Injury;102380968;2008;50 - 55  MPH;Double Yellow Line; No Passing Zone
Yes;B: Suspected Minor Injury;102381025;2008;50 - 55  MPH;Double Yellow Line; No Passing Zone
Yes;B: Suspected Minor Injury;102381057;2008;30 - 35  MPH;Stop And Go Signal;Clear
Yes;C: Possible Injury;102381118;2008;40 - 45  MPH;Stop Sign;Clear
No;O: No Injury;102381350;2008;5 - 15 MPH;Missing;Clear
Yes;B: Suspected Minor Injury;102382403;2008;Unknown;No Control Present;Clear
Yes;B: Suspected Minor Injury;102382562;2008;50 - 55  MPH;No Control Present;Rain
Yes;A: Suspected Serious Injury;102383577;2008;40 - 45  MPH;No Control Present;Clear
Yes;B: Suspected Minor Injury;102383638;2008;5 - 15 MPH;Stop Sign;Clear
Yes;B: Suspected Minor Injury;102384199;2008;40 - 45  MPH;No Control Present;Clear
Yes;C: Possible Injury;102384300;2008;30 - 35  MPH;Stop And Go Signal;Clear
No;B: Suspected Minor Injury;102384418;2008;40 - 45  MPH;Stop Sign;Clear
Yes;B: Suspected Minor Injury;102384548;2008;30 - 35  MPH;No Control Present;Clear
Yes;B: Suspected Minor Injury;102384584;2008;40 - 45  MPH;No Control Present;Clear
Yes;B: Suspected Minor Injury;102384663;2008;Unknown;Missing;Rain
Yes;B: Suspected Minor Injury;102384733;2008;30 - 35  MPH;Stop Sign;Clear
No;C: Possible Injury;102384875;2008;30 - 35  MPH;Stop And Go Signal;Clear
No;B: Suspected Minor Injury;102384881;2008;40 - 45  MPH;Double Yellow Line; No Passing Zone
Yes;B: Suspected Minor Injury;102385076;2008;50 - 55  MPH;Double Yellow Line; No Passing Zone
Yes;B: Suspected Minor Injury;102385180;2008;40 - 45  MPH;Stop Sign;Clear
Yes;B: Suspected Minor Injury;102385187;2008;30 - 35  MPH;Stop Sign;Clear
Yes;A: Suspected Serious Injury;102385296;2008;40 - 45  MPH;Double Yellow Line; No Passing Zone
Yes;C: Possible Injury;102385481;2008;30 - 35  MPH;No Control Present;Clear
No;B: Suspected Minor Injury;102385744;2008;40 - 45  MPH;Stop And Go Signal;Clear
Yes;B: Suspected Minor Injury;102385989;2008;50 - 55  MPH;No Control Present;Cloudy
Yes;C: Possible Injury;102386116;2008;40 - 45  MPH;No Control Present;Clear
No;O: No Injury;102386427;2008;40 - 45  MPH;Stop Sign;Clear
Yes;B: Suspected Minor Injury;102386861;2008;50 - 55  MPH;Double Yellow Line; No Passing Zone
Yes;B: Suspected Minor Injury;102386880;2008;30 - 35  MPH;Double Yellow Line; No Passing Zone
Yes;Unknown Injury;102387095;2008;Unknown;Stop Sign;Clear
Yes;C: Possible Injury;102387705;2008;5 - 15 MPH;Stop Sign;Clear
Yes;C: Possible Injury;102387728;2008;40 - 45  MPH;Double Yellow Line; No Passing Zone
Yes;C: Possible Injury;102388354;2008;5 - 15 MPH;No Control Present;Clear
No;B: Suspected Minor Injury;102388399;2008;30 - 35  MPH;Missing;Clear
No;O: No Injury;102388471;2008;5 - 15 MPH;No Control Present;Clear
No;B: Suspected Minor Injury;102388569;2008;30 - 35  MPH;Stop Sign;Clear
No;B: Suspected Minor Injury;102388777;2008;50 - 55  MPH;Double Yellow Line; No Passing Zone
Yes;C: Possible Injury;102388955;2008;20 - 25  MPH;Stop Sign;Clear
Yes;A: Suspected Serious Injury;102389085;2008;50 - 55  MPH;Stop Sign;Clear
Yes;C: Possible Injury;102389615;2008;20 - 25  MPH;Missing;Clear
No;O: No Injury;102389807;2008;30 - 35  MPH;Stop Sign;Clear
Yes;C: Possible Injury;102389931;2008;30 - 35  MPH;No Control Present;Clear
Yes;B: Suspected Minor Injury;102390037;2008;Unknown;Missing;Clear
No;O: No Injury;102390135;2008;20 - 25  MPH;Stop Sign;Clear
No;C: Possible Injury;102390140;2008;30 - 35  MPH;Stop And Go Signal;Clear
No;O: No Injury;102390267;2008;Unknown;Double Yellow Line; No Passing Zone
Yes;C: Possible Injury;102390275;2008;50 - 55  MPH;Stop Sign;Clear
No;B: Suspected Minor Injury;102390765;2008;40 - 45  MPH;Missing;Clear
Yes;C: Possible Injury;102390891;2008;30 - 35  MPH;Stop And Go Signal;Clear
No;C: Possible Injury;102390905;2008;5 - 15 MPH;Stop Sign;Cloudy
Yes;C: Possible Injury;102390915;2008;30 - 35  MPH;No Control Present;Cloudy
No;B: Suspected Minor Injury;102391119;2008;20 - 25  MPH;Stop And Go Signal;Clear
Yes;B: Suspected Minor Injury;102391386;2008;40 - 45  MPH;No Control Present;Clear
No;C: Possible Injury;102391571;2008;Unknown;Stop And Go Signal;Clear
Yes;B: Suspected Minor Injury;102391675;2008;30 - 35  MPH;Stop Sign;Clear
No;O: No Injury;102391684;2008;30 - 35  MPH;No Control Present;Clear
No;B: Suspected Minor Injury;102391702;2008;30 - 35  MPH;Stop Sign;Cloudy
Yes;O: No Injury;102391718;2008;30 - 35  MPH;Missing;Clear
Yes;B: Suspected Minor Injury;102392383;2008;5 - 15 MPH;No Control Present;Clear
Yes;O: No Injury;102392522;2008;30 - 35  MPH;Stop Sign;Clear
Yes;B: Suspected Minor Injury;102392559;2008;50 - 55  MPH;Stop And Go Signal;Clear
No;C: Possible Injury;102392777;2008;30 - 35  MPH;No Control Present;Clear
Yes;B: Suspected Minor Injury;102393552;2008;30 - 35  MPH;Stop And Go Signal;Rain
Yes;C: Possible Injury;102393643;2008;30 - 35  MPH;Missing;Clear
No;C: Possible Injury;102393824;2008;Unknown;No Control Present;Cloudy
No;C: Possible Injury;102393915;2008;40 - 45  MPH;Stop Sign;Clear
Yes;B: Suspected Minor Injury;102394129;2008;30 - 35  MPH;No Control Present;Clear
Yes;K: Killed;102394172;2008;40 - 45  MPH;Double Yellow Line; No Passing Zone
Yes;C: Possible Injury;102394328;2008;Unknown;No Control Present;Cloudy
Yes;A: Suspected Serious Injury;102394520;2008;30 - 35  MPH;Stop Sign;Clear
Yes;B: Suspected Minor Injury;102394625;2008;20 - 25  MPH;Stop Sign;Clear
Yes;B: Suspected Minor Injury;102394644;2008;20 - 25  MPH;No Control Present;Cloudy
Yes;B: Suspected Minor Injury;102394792;2008;20 - 25  MPH;No Control Present;Cloudy
Yes;C: Possible Injury;102394832;2008;5 - 15 MPH;No Control Present;Rain
Yes;C: Possible Injury;102395248;2008;20 - 25  MPH;No Control Present;Rain
Yes;B: Suspected Minor Injury;102395565;2008;50 - 55  MPH;Missing;Rain
Yes;B: Suspected Minor Injury;102396043;2008;30 - 35  MPH;No Control Present;Cloudy
No;O: No Injury;102396131;2008;30 - 35  MPH;Stop Sign;Clear
Yes;C: Possible Injury;102396189;2008;30 - 35  MPH;Stop Sign;Clear
No;C: Possible Injury;102396233;2008;30 - 35  MPH;Missing;Clear
Yes;B: Suspected Minor Injury;102396363;2008;40 - 45  MPH;No Control Present;Cloudy
Yes;C: Possible Injury;102396578;2008;50 - 55  MPH;Double Yellow Line; No Passing Zone
Yes;C: Possible Injury;102396866;2008;20 - 25  MPH;Stop Sign;Clear
Yes;C: Possible Injury;102397867;2008;50 - 55  MPH;Double Yellow Line; No Passing Zone
Yes;B: Suspected Minor Injury;102397954;2008;60 - 75 MPH;Missing;Clear
No;C: Possible Injury;102398348;2008;30 - 35  MPH;Missing;Clear
Yes;B: Suspected Minor Injury;102398778;2008;40 - 45  MPH;Double Yellow Line; No Passing Zone
Yes;C: Possible Injury;102398801;2008;30 - 35  MPH;Stop And Go Signal;Clear
Yes;Unknown Injury;102399232;2008;Unknown;Missing;Clear
No;B: Suspected Minor Injury;102399282;2008;50 - 55  MPH;No Control Present;Clear
No;C: Possible Injury;102399387;2008;30 - 35  MPH;Stop And Go Signal;Clear
Yes;C: Possible Injury;102399461;2008;40 - 45  MPH;No Control Present;Clear
Yes;A: Suspected Serious Injury;102399553;2008;50 - 55  MPH;Double Yellow Line; No Passing Zone
Yes;B: Suspected Minor Injury;102399910;2008;Unknown;No Control Present;Clear
Yes;K: Killed;102399916;2008;50 - 55  MPH;No Control Present;Cloudy
No;B: Suspected Minor Injury;102400500;2008;30 - 35  MPH;No Control Present;Clear
Yes;B: Suspected Minor Injury;102400548;2008;20 - 25  MPH;Stop Sign;Clear
Yes;B: Suspected Minor Injury;102400667;2008;30 - 35  MPH;Stop Sign;Clear
No;C: Possible Injury;102400727;2008;5 - 15 MPH;No Control Present;Clear
Yes;B: Suspected Minor Injury;102400984;2008;40 - 45  MPH;Missing;Clear
No;B: Suspected Minor Injury;102401131;2008;20 - 25  MPH;Stop Sign;Clear
Yes;C: Possible Injury;102401264;2008;30 - 35  MPH;Stop And Go Signal;Clear
Yes;B: Suspected Minor Injury;102401381;2008;30 - 35  MPH;No Control Present;Cloudy
No;C: Possible Injury;102401387;2008;20 - 25  MPH;Missing;Cloudy
Yes;B: Suspected Minor Injury;102401491;2008;40 - 45  MPH;Stop And Go Signal;Clear
No;B: Suspected Minor Injury;102401584;2008;20 - 25  MPH;Stop Sign;Clear
Yes;B: Suspected Minor Injury;102401694;2008;20 - 25  MPH;No Control Present;Cloudy
Yes;C: Possible Injury;102401980;2008;40 - 45  MPH;Double Yellow Line; No Passing Zone
No;C: Possible Injury;102402348;2008;40 - 45  MPH;Missing;Clear
Yes;B: Suspected Minor Injury;102403209;2008;30 - 35  MPH;Flashing Stop And Go Signal;Clear
No;B: Suspected Minor Injury;102403295;2008;30 - 35  MPH;Stop And Go Signal;Clear
Yes;C: Possible Injury;102403387;2008;50 - 55  MPH;No Control Present;Clear
No;O: No Injury;102403544;2008;30 - 35  MPH;No Control Present;Clear
Yes;K: Killed;102403600;2008;50 - 55  MPH;Other;Clear
Yes;C: Possible Injury;102404120;2008;30 - 35  MPH;Stop Sign;Clear
Yes;B: Suspected Minor Injury;102404343;2008;30 - 35  MPH;No Control Present;Cloudy
Yes;B: Suspected Minor Injury;102404732;2008;50 - 55  MPH;Double Yellow Line; No Passing Zone
Yes;B: Suspected Minor Injury;102404742;2008;50 - 55  MPH;Missing;Fog
No;B: Suspected Minor Injury;102404834;2008;20 - 25  MPH;Stop And Go Signal;Cloudy
Yes;B: Suspected Minor Injury;102404843;2008;20 - 25  MPH;Missing;Cloudy
Yes;B: Suspected Minor Injury;102405279;2008;30 - 35  MPH;No Control Present;Cloudy
Yes;B: Suspected Minor Injury;102405484;2008;30 - 35  MPH;Missing;Clear
No;C: Possible Injury;102405645;2008;30 - 35  MPH;No Control Present;Cloudy
No;B: Suspected Minor Injury;102405706;2008;20 - 25  MPH;No Control Present;Clear
No;C: Possible Injury;102406049;2008;Unknown;Stop And Go Signal;Rain
No;O: No Injury;102406141;2008;30 - 35  MPH;No Control Present;Clear
Yes;B: Suspected Minor Injury;102406854;2008;Unknown;Missing;Cloudy
Yes;C: Possible Injury;102406958;2008;40 - 45  MPH;Stop And Go Signal;Clear
Yes;C: Possible Injury;102407214;2008;50 - 55  MPH;No Control Present;Clear
Yes;B: Suspected Minor Injury;102407272;2008;40 - 45  MPH;No Control Present;Clear
Yes;B: Suspected Minor Injury;102407338;2008;30 - 35  MPH;Double Yellow Line; No Passing Zone
Yes;B: Suspected Minor Injury;102407551;2008;30 - 35  MPH;Stop And Go Signal;Rain
Yes;B: Suspected Minor Injury;102408112;2008;30 - 35  MPH;Missing;Clear
Yes;B: Suspected Minor Injury;102408171;2008;30 - 35  MPH;No Control Present;Clear
Yes;C: Possible Injury;102408820;2008;30 - 35  MPH;Stop Sign;Cloudy
Yes;B: Suspected Minor Injury;102408976;2008;30 - 35  MPH;Stop And Go Signal;Cloudy
Yes;B: Suspected Minor Injury;102409236;2008;20 - 25  MPH;Stop Sign;Rain
Yes;B: Suspected Minor Injury;102409451;2008;30 - 35  MPH;Stop And Go Signal;Clear
Yes;B: Suspected Minor Injury;102409765;2008;30 - 35  MPH;No Control Present;Clear
No;C: Possible Injury;102410082;2008;5 - 15 MPH;No Control Present;Cloudy
No;C: Possible Injury;102410275;2008;40 - 45  MPH;No Control Present;Clear
No;B: Suspected Minor Injury;102410359;2008;30 - 35  MPH;No Control Present;Clear
Yes;B: Suspected Minor Injury;102411068;2008;30 - 35  MPH;Double Yellow Line; No Passing Zone
Yes;K: Killed;102411371;2008;50 - 55  MPH;Double Yellow Line; No Passing Zone
Yes;O: No Injury;102411456;2008;Unknown;Stop Sign;Clear
Yes;B: Suspected Minor Injury;102411461;2008;30 - 35  MPH;Stop And Go Signal;Clear
Yes;C: Possible Injury;102411737;2008;30 - 35  MPH;Stop Sign;Clear
Yes;B: Suspected Minor Injury;102412249;2008;5 - 15 MPH;Stop Sign;Clear
Yes;O: No Injury;102413102;2008;Unknown;Double Yellow Line; No Passing Zone
No;C: Possible Injury;102413876;2008;40 - 45  MPH;No Control Present;Clear
No;C: Possible Injury;102413886;2008;Unknown;Missing;Cloudy
No;B: Suspected Minor Injury;102414008;2008;30 - 35  MPH;No Control Present;Clear
Yes;C: Possible Injury;102414049;2008;20 - 25  MPH;Stop And Go Signal;Clear
No;Unknown Injury;102414089;2008;50 - 55  MPH;Stop Sign;Cloudy
Yes;B: Suspected Minor Injury;102414405;2008;30 - 35  MPH;Missing;Clear
No;C: Possible Injury;102414457;2008;30 - 35  MPH;Stop Sign;Clear
Yes;B: Suspected Minor Injury;102414970;2008;20 - 25  MPH;Stop Sign;Clear
Yes;Unknown Injury;102414986;2008;30 - 35  MPH;Stop Sign;Clear
Yes;C: Possible Injury;102415511;2008;50 - 55  MPH;Missing;Cloudy
Yes;K: Killed;102415556;2008;40 - 45  MPH;Double Yellow Line; No Passing Zone
Yes;B: Suspected Minor Injury;102416514;2008;30 - 35  MPH;Stop Sign;Clear
Yes;B: Suspected Minor Injury;102416516;2008;30 - 35  MPH;Stop And Go Signal;Clear
Yes;C: Possible Injury;102416677;2008;30 - 35  MPH;Stop Sign;Clear
Yes;A: Suspected Serious Injury;102416772;2008;50 - 55  MPH;No Control Present;Clear
Yes;B: Suspected Minor Injury;102416892;2008;30 - 35  MPH;Stop Sign;Clear
No;B: Suspected Minor Injury;102416982;2008;20 - 25  MPH;Stop And Go Signal;Rain
Yes;C: Possible Injury;102417394;2008;20 - 25  MPH;Stop Sign;Clear
Yes;C: Possible Injury;102418057;2008;20 - 25  MPH;Stop Sign;Clear
Yes;C: Possible Injury;102418414;2008;50 - 55  MPH;Missing;Rain
Yes;B: Suspected Minor Injury;102419140;2008;40 - 45  MPH;Stop Sign;Clear
Yes;B: Suspected Minor Injury;102419158;2008;30 - 35  MPH;Yield Sign;Clear
No;B: Suspected Minor Injury;102419456;2008;5 - 15 MPH;Missing;Clear
No;O: No Injury;102419468;2008;40 - 45  MPH;No Control Present;Clear
No;C: Possible Injury;102419581;2008;30 - 35  MPH;Stop Sign;Clear
No;C: Possible Injury;102419672;2008;30 - 35  MPH;No Control Present;Clear
Yes;A: Suspected Serious Injury;102419737;2008;40 - 45  MPH;No Control Present;Clear
Yes;K: Killed;102419768;2008;50 - 55  MPH;No Control Present;Clear
Yes;O: No Injury;102419888;2008;30 - 35  MPH;Stop Sign;Clear
Yes;C: Possible Injury;102420195;2008;20 - 25  MPH;Stop Sign;Clear
No;A: Suspected Serious Injury;102420220;2008;50 - 55  MPH;Missing;Clear
Yes;C: Possible Injury;102420388;2008;40 - 45  MPH;No Control Present;Clear
Yes;C: Possible Injury;102420667;2008;20 - 25  MPH;No Control Present;Clear
No;C: Possible Injury;102420861;2008;40 - 45  MPH;Stop Sign;Clear
No;O: No Injury;102422161;2008;30 - 35  MPH;Stop And Go Signal;Clear
Yes;B: Suspected Minor Injury;102422199;2008;30 - 35  MPH;Stop And Go Signal;Clear
No;B: Suspected Minor Injury;102422210;2008;30 - 35  MPH;Yield Sign;Cloudy
Yes;B: Suspected Minor Injury;102422508;2008;30 - 35  MPH;Missing;Rain
Yes;B: Suspected Minor Injury;102422617;2008;40 - 45  MPH;Stop Sign;Clear
No;C: Possible Injury;102422650;2008;30 - 35  MPH;Double Yellow Line; No Passing Zone
Yes;C: Possible Injury;102422713;2008;50 - 55  MPH;No Control Present;Clear
No;C: Possible Injury;102422720;2008;20 - 25  MPH;Stop Sign;Clear
No;C: Possible Injury;102423336;2008;Unknown;No Control Present;Clear
Yes;C: Possible Injury;102423598;2008;30 - 35  MPH;No Control Present;Clear
No;O: No Injury;102424379;2008;30 - 35  MPH;Stop And Go Signal;Rain
Yes;B: Suspected Minor Injury;102424741;2008;30 - 35  MPH;Stop And Go Signal;Clear
No;C: Possible Injury;102424821;2008;20 - 25  MPH;Stop And Go Signal;Clear
Yes;C: Possible Injury;102425213;2008;40 - 45  MPH;No Control Present;Clear
No;B: Suspected Minor Injury;102425675;2008;30 - 35  MPH;Missing;Clear
No;B: Suspected Minor Injury;102425818;2008;40 - 45  MPH;No Control Present;Clear
Yes;C: Possible Injury;102425998;2008;30 - 35  MPH;Stop Sign;Clear
No;C: Possible Injury;102426269;2008;30 - 35  MPH;Stop Sign;Clear
Yes;C: Possible Injury;102426900;2008;50 - 55  MPH;Double Yellow Line; No Passing Zone
Yes;B: Suspected Minor Injury;102427277;2008;20 - 25  MPH;Stop Sign;Clear
No;B: Suspected Minor Injury;102427356;2008;30 - 35  MPH;Stop And Go Signal;Clear
No;C: Possible Injury;102427359;2008;50 - 55  MPH;Double Yellow Line; No Passing Zone
Yes;C: Possible Injury;102427665;2008;20 - 25  MPH;Stop And Go Signal;Clear
Yes;B: Suspected Minor Injury;102427943;2008;40 - 45  MPH;Stop And Go Signal;Clear
No;C: Possible Injury;102429298;2008;30 - 35  MPH;Stop And Go Signal;Rain
Yes;A: Suspected Serious Injury;102429362;2008;40 - 45  MPH;Missing;Rain
Yes;C: Possible Injury;102429379;2008;40 - 45  MPH;Stop Sign;Clear
Yes;O: No Injury;102429606;2008;Unknown;Stop Sign;Cloudy
Yes;C: Possible Injury;102429670;2008;40 - 45  MPH;Stop Sign;Clear
Yes;C: Possible Injury;102429704;2008;40 - 45  MPH;Stop And Go Signal;Clear
Yes;O: No Injury;102430043;2008;30 - 35  MPH;Stop Sign;Clear
Yes;K: Killed;102430828;2008;40 - 45  MPH;Missing;Clear
Yes;B: Suspected Minor Injury;102431202;2008;50 - 55  MPH;Double Yellow Line; No Passing Zone
Yes;Unknown Injury;102431234;2008;5 - 15 MPH;No Control Present;Clear
Yes;C: Possible Injury;102431239;2008;30 - 35  MPH;Stop Sign;Clear
Yes;B: Suspected Minor Injury;102431598;2008;20 - 25  MPH;Missing;Clear
No;B: Suspected Minor Injury;102432131;2008;Unknown;No Control Present;Clear
Yes;C: Possible Injury;102432332;2008;5 - 15 MPH;No Control Present;Clear
No;C: Possible Injury;102432409;2008;30 - 35  MPH;No Control Present;Clear
Yes;B: Suspected Minor Injury;102432741;2008;20 - 25  MPH;Stop Sign;Clear
Yes;C: Possible Injury;102433274;2008;5 - 15 MPH;Missing;Clear
No;B: Suspected Minor Injury;102433286;2008;30 - 35  MPH;No Control Present;Clear
Yes;B: Suspected Minor Injury;102433916;2008;50 - 55  MPH;Double Yellow Line; No Passing Zone
Yes;C: Possible Injury;102434978;2008;30 - 35  MPH;Stop Sign;Clear
Yes;B: Suspected Minor Injury;102435010;2008;40 - 45  MPH;Stop And Go Signal;Clear
Yes;B: Suspected Minor Injury;102435626;2008;30 - 35  MPH;Stop And Go Signal;Clear
Yes;A: Suspected Serious Injury;102435933;2008;20 - 25  MPH;Stop Sign;Clear
Yes;B: Suspected Minor Injury;102436202;2008;30 - 35  MPH;Stop Sign;Clear
Yes;C: Possible Injury;102436391;2008;30 - 35  MPH;Stop Sign;Clear
Yes;K: Killed;102436599;2008;40 - 45  MPH;Stop And Go Signal;Clear
No;B: Suspected Minor Injury;102436927;2008;40 - 45  MPH;Double Yellow Line; No Passing Zone
Yes;C: Possible Injury;102436956;2008;20 - 25  MPH;No Control Present;Clear
Yes;B: Suspected Minor Injury;102437378;2008;40 - 45  MPH;Double Yellow Line; No Passing Zone
Yes;C: Possible Injury;102437398;2008;50 - 55  MPH;Stop And Go Signal;Clear
Yes;C: Possible Injury;102437423;2008;50 - 55  MPH;Double Yellow Line; No Passing Zone
Yes;C: Possible Injury;102438074;2008;5 - 15 MPH;No Control Present;Clear
No;C: Possible Injury;102438566;2008;20 - 25  MPH;Stop Sign;Clear
Yes;B: Suspected Minor Injury;102438823;2008;50 - 55  MPH;Missing;Clear
Yes;B: Suspected Minor Injury;102438874;2008;5 - 15 MPH;No Control Present;Clear
No;O: No Injury;102439021;2008;20 - 25  MPH;No Control Present;Clear
Yes;C: Possible Injury;102439776;2008;40 - 45  MPH;Stop And Go Signal;Clear
Yes;C: Possible Injury;102440375;2008;40 - 45  MPH;Missing;Clear
Yes;B: Suspected Minor Injury;102440396;2008;40 - 45  MPH;Missing;Cloudy
No;B: Suspected Minor Injury;102440508;2008;40 - 45  MPH;Stop And Go Signal;Clear
No;Unknown Injury;102440729;2008;40 - 45  MPH;Stop And Go Signal;Clear
No;B: Suspected Minor Injury;102440902;2008;40 - 45  MPH;Double Yellow Line; No Passing Zone
Yes;C: Possible Injury;102441118;2008;40 - 45  MPH;Stop Sign;Clear
No;A: Suspected Serious Injury;102441659;2008;40 - 45  MPH;Missing;Clear
Yes;B: Suspected Minor Injury;102442701;2008;30 - 35  MPH;Stop And Go Signal;Clear
Yes;B: Suspected Minor Injury;102442733;2008;Unknown;Stop And Go Signal;Clear
Yes;B: Suspected Minor Injury;102442741;2008;Unknown;No Control Present;Clear
Yes;B: Suspected Minor Injury;102443024;2008;30 - 35  MPH;Stop Sign;Clear
Yes;B: Suspected Minor Injury;102443048;2008;20 - 25  MPH;No Control Present;Clear
Yes;C: Possible Injury;102443958;2008;50 - 55  MPH;No Control Present;Cloudy
Yes;C: Possible Injury;102444522;2008;40 - 45  MPH;No Control Present;Clear
Yes;C: Possible Injury;102444524;2008;20 - 25  MPH;Stop And Go Signal;Clear
Yes;B: Suspected Minor Injury;102444571;2008;20 - 25  MPH;Stop And Go Signal;Clear
No;C: Possible Injury;102444651;2008;30 - 35  MPH;Missing;Clear
Yes;C: Possible Injury;102445190;2008;20 - 25  MPH;Stop And Go Signal;Clear
Yes;C: Possible Injury;102445256;2008;30 - 35  MPH;No Control Present;Rain
No;A: Suspected Serious Injury;102446300;2008;20 - 25  MPH;Stop And Go Signal;Clear
Yes;B: Suspected Minor Injury;102447129;2008;50 - 55  MPH;Double Yellow Line; No Passing Zone
No;Unknown Injury;102448499;2008;30 - 35  MPH;Missing;Clear
Yes;C: Possible Injury;102448595;2008;30 - 35  MPH;No Control Present;Clear
Yes;B: Suspected Minor Injury;102448751;2008;30 - 35  MPH;No Control Present;Clear
No;C: Possible Injury;102449397;2008;30 - 35  MPH;No Control Present;Clear
Yes;C: Possible Injury;102449431;2008;30 - 35  MPH;No Control Present;Clear
Yes;K: Killed;102449470;2008;50 - 55  MPH;Stop Sign;Clear
No;C: Possible Injury;102449838;2008;30 - 35  MPH;Flashing Signal With Stop Sign;Clear
No;O: No Injury;102450604;2008;30 - 35  MPH;No Control Present;Clear
Yes;B: Suspected Minor Injury;102451193;2008;50 - 55  MPH;No Control Present;Clear
Yes;B: Suspected Minor Injury;102451419;2008;40 - 45  MPH;No Control Present;Clear
No;B: Suspected Minor Injury;102452241;2008;50 - 55  MPH;Double Yellow Line; No Passing Zone
Yes;C: Possible Injury;102452515;2008;40 - 45  MPH;No Control Present;Clear
Yes;B: Suspected Minor Injury;102453332;2008;50 - 55  MPH;No Control Present;Clear
No;O: No Injury;102453363;2008;40 - 45  MPH;Double Yellow Line; No Passing Zone
No;B: Suspected Minor Injury;102454192;2008;30 - 35  MPH;Missing;Clear
Yes;C: Possible Injury;102454474;2008;Unknown;No Control Present;Clear
Yes;C: Possible Injury;102454796;2008;50 - 55  MPH;Double Yellow Line; No Passing Zone
Yes;B: Suspected Minor Injury;102454846;2008;40 - 45  MPH;School Zone Signs;Clear
Yes;B: Suspected Minor Injury;102455332;2008;50 - 55  MPH;No Control Present;Clear
Yes;B: Suspected Minor Injury;102455441;2008;20 - 25  MPH;No Control Present;Clear
Yes;B: Suspected Minor Injury;102455589;2008;Unknown;Double Yellow Line; No Passing Zone
Yes;C: Possible Injury;102456261;2008;40 - 45  MPH;Double Yellow Line; No Passing Zone
Yes;C: Possible Injury;102456666;2008;30 - 35  MPH;No Control Present;Clear
No;O: No Injury;102456748;2008;40 - 45  MPH;Stop And Go Signal;Clear
No;C: Possible Injury;102457214;2008;5 - 15 MPH;No Control Present;Clear
No;C: Possible Injury;102457252;2008;40 - 45  MPH;Yield Sign;Clear
No;O: No Injury;102457491;2008;30 - 35  MPH;No Control Present;Cloudy
Yes;C: Possible Injury;102457820;2008;50 - 55  MPH;Double Yellow Line; No Passing Zone
Yes;B: Suspected Minor Injury;102457986;2008;20 - 25  MPH;No Control Present;Clear
Yes;C: Possible Injury;102458449;2008;Unknown;Stop Sign;Clear
Yes;C: Possible Injury;102458973;2008;Unknown;Stop Sign;Clear
Yes;B: Suspected Minor Injury;102459210;2008;30 - 35  MPH;Stop And Go Signal;Cloudy
Yes;C: Possible Injury;102459630;2008;30 - 35  MPH;No Control Present;Clear
No;B: Suspected Minor Injury;102460420;2008;30 - 35  MPH;Stop Sign;Clear
Yes;K: Killed;102461251;2008;60 - 75 MPH;No Control Present;Cloudy
Yes;B: Suspected Minor Injury;102461464;2008;30 - 35  MPH;Double Yellow Line; No Passing Zone
Yes;K: Killed;102461964;2008;40 - 45  MPH;Double Yellow Line; No Passing Zone
No;O: No Injury;102462024;2008;30 - 35  MPH;No Control Present;Clear
Yes;B: Suspected Minor Injury;102462307;2008;40 - 45  MPH;No Control Present;Cloudy
No;B: Suspected Minor Injury;102462581;2008;40 - 45  MPH;No Control Present;Clear
No;O: No Injury;102462653;2008;40 - 45  MPH;Stop And Go Signal;Clear
